Host: mne-ubu  Current process id: 15164
./linkern -s 42 -S linkern.tour -R 1000000000 -t 18000 ./cities1k.tsp
Chained Lin-Kernighan with seed 42
Problem Name: traveling-santa-2018-prime-paths
traveling-santa-2018-prime-paths
Problem Type: TSP
Number of Nodes: 197769
Rounded Euclidean Norm (CC_EUCLIDEAN)
Time to build kdtree: 0.05
..................................................................................................................................................................................................... 908246 edges
Time to find quad 2-nearest: 0.90
Grow a Quick-Boruvka tour 
...................
Length of Quick-Boruvka Tour: 1664310972.00
Time to grow tour: 0.14
linkern ...
Starting Cycle: 1664310972
   0 Steps   Best: 1515290198   5.13 seconds
   1 Steps   Best: 1515289095   5.14 seconds
   2 Steps   Best: 1515287776   5.14 seconds
   3 Steps   Best: 1515275864   5.15 seconds
   5 Steps   Best: 1515272951   5.15 seconds
   6 Steps   Best: 1515270075   5.16 seconds
   7 Steps   Best: 1515269228   5.16 seconds
   8 Steps   Best: 1515246106   5.16 seconds
  10 Steps   Best: 1515229108   5.17 seconds
  11 Steps   Best: 1515219959   5.18 seconds
  12 Steps   Best: 1515218342   5.18 seconds
  15 Steps   Best: 1515214084   5.20 seconds
  19 Steps   Best: 1515209566   5.21 seconds
  24 Steps   Best: 1515181210   5.23 seconds
  25 Steps   Best: 1515175143   5.24 seconds
  26 Steps   Best: 1515173441   5.24 seconds
  28 Steps   Best: 1515170716   5.25 seconds
  29 Steps   Best: 1515168288   5.25 seconds
  30 Steps   Best: 1515165256   5.26 seconds
  31 Steps   Best: 1515165068   5.26 seconds
  33 Steps   Best: 1515163146   5.26 seconds
  34 Steps   Best: 1515156229   5.27 seconds
  35 Steps   Best: 1515151648   5.27 seconds
  36 Steps   Best: 1515151418   5.28 seconds
  37 Steps   Best: 1515146575   5.28 seconds
  39 Steps   Best: 1515136789   5.28 seconds
  40 Steps   Best: 1515131068   5.29 seconds
  43 Steps   Best: 1515130703   5.29 seconds
  45 Steps   Best: 1515120869   5.30 seconds
  46 Steps   Best: 1515119527   5.31 seconds
  47 Steps   Best: 1515107583   5.31 seconds
  48 Steps   Best: 1515105156   5.31 seconds
  53 Steps   Best: 1515103616   5.33 seconds
  54 Steps   Best: 1515100942   5.34 seconds
  55 Steps   Best: 1515087655   5.34 seconds
  56 Steps   Best: 1515085559   5.34 seconds
  57 Steps   Best: 1515084214   5.34 seconds
  58 Steps   Best: 1515083083   5.34 seconds
  59 Steps   Best: 1515082988   5.34 seconds
  61 Steps   Best: 1515076790   5.35 seconds
  67 Steps   Best: 1515075103   5.36 seconds
  68 Steps   Best: 1515065296   5.36 seconds
  70 Steps   Best: 1515060798   5.37 seconds
  73 Steps   Best: 1515030919   5.39 seconds
  75 Steps   Best: 1514996534   5.40 seconds
  76 Steps   Best: 1514989534   5.40 seconds
  79 Steps   Best: 1514984055   5.41 seconds
  83 Steps   Best: 1514981079   5.42 seconds
  84 Steps   Best: 1514972922   5.42 seconds
  85 Steps   Best: 1514934048   5.42 seconds
  86 Steps   Best: 1514927212   5.42 seconds
  87 Steps   Best: 1514927110   5.42 seconds
  88 Steps   Best: 1514923579   5.43 seconds
  90 Steps   Best: 1514920970   5.43 seconds
  94 Steps   Best: 1514916273   5.44 seconds
  95 Steps   Best: 1514899725   5.44 seconds
  97 Steps   Best: 1514899334   5.44 seconds
  98 Steps   Best: 1514886203   5.45 seconds
  99 Steps   Best: 1514881157   5.45 seconds
 100 Steps   Best: 1514872390   5.45 seconds
 101 Steps   Best: 1514864700   5.45 seconds
 102 Steps   Best: 1514861757   5.45 seconds
 106 Steps   Best: 1514859646   5.46 seconds
 108 Steps   Best: 1514857336   5.47 seconds
 109 Steps   Best: 1514855895   5.47 seconds
 110 Steps   Best: 1514853861   5.47 seconds
 112 Steps   Best: 1514850524   5.48 seconds
 114 Steps   Best: 1514841515   5.48 seconds
 115 Steps   Best: 1514841022   5.48 seconds
 117 Steps   Best: 1514830593   5.49 seconds
 121 Steps   Best: 1514828318   5.49 seconds
 122 Steps   Best: 1514826014   5.50 seconds
 123 Steps   Best: 1514813318   5.50 seconds
 125 Steps   Best: 1514805434   5.51 seconds
 127 Steps   Best: 1514799508   5.51 seconds
 129 Steps   Best: 1514795893   5.51 seconds
 131 Steps   Best: 1514795312   5.52 seconds
 132 Steps   Best: 1514792001   5.52 seconds
 134 Steps   Best: 1514788965   5.53 seconds
 135 Steps   Best: 1514786549   5.53 seconds
 139 Steps   Best: 1514786053   5.54 seconds
 140 Steps   Best: 1514780389   5.55 seconds
 143 Steps   Best: 1514777282   5.56 seconds
 144 Steps   Best: 1514777184   5.56 seconds
 145 Steps   Best: 1514774979   5.56 seconds
 146 Steps   Best: 1514773383   5.56 seconds
 148 Steps   Best: 1514768100   5.57 seconds
 149 Steps   Best: 1514759090   5.57 seconds
 150 Steps   Best: 1514758103   5.57 seconds
 152 Steps   Best: 1514750901   5.58 seconds
 153 Steps   Best: 1514744664   5.58 seconds
 154 Steps   Best: 1514740775   5.58 seconds
 156 Steps   Best: 1514729059   5.59 seconds
 157 Steps   Best: 1514716436   5.59 seconds
